Ticker,Description,Last,Change,%,Change,Rating,Volume,Market,Capitalization,Price,to,Earnings,Ratio,(TTM),Basic,EPS,(TTM),Number,of,Employees,Sector
AFI,"Armstrong Flooring, Inc.",3.06,0.99009901,0.03,Sell,407867,66358735.8415842,,-1.6775,1552,Producer,Manufacturing,,,,,,,,,
AFIB,"Acutus Medical, Inc.",10.55,-6.30550622,-0.71,Sell,855290,365110126.789525,,-4.2398,291,Health,Technology,,,,,,,,,
AFIN,"American Finance Trust, Inc.",8.54,2.89156627,0.24,Sell,5224087,1025032581,,-0.298,,Finance,,,,,,,,,,
AFL,AFLAC,Incorporated,54.695,0.0640322,0.035,Buy,8434703,36686200444.726,6.59762457,8.3154,12003,Finance,,,,,,,,,
AFMD,Affimed,N.V.,6.21,-4.16666667,-0.27,Sell,3384520,738698612.672986,,-0.4538,163,Health,Technology,,,,,,,,
AFRM,"Affirm Holdings, Inc.",118.225,-4.42603072,-5.475,Buy,95870801,31844861978.9754,,,,Technology,Services,,,,,,,,,
AFYA,Afya,Limited,21.76,-0.91074681,-0.2,Sell,379288,2028093447.701,43.63564041,0.5085727,5260,Consumer,Services,,,,,,,,
AGC,Altimeter,Growth,Corp.,10.8987,1.38325581,0.1487,Neutral,4548159,681168735.099434,,-1.5468,2,Finance,,,,,,,,
AGCO,AGCO,Corporation,129.81,1.40614015,1.8,Neutral,1796066,9785824716.70494,13.63365996,9.6562,21426,Producer,Manufacturing,,,,,,,,
AGEN,Agenus,Inc.,5.445,-16.23076923,-1.055,Buy,19575181,1269309210.74791,,-1.1145,359,Health,Technology,,,,,,,,
AGFS,"AgroFresh Solutions, Inc.",2.02,1,0.02,Sell,187180,105333056.883249,,-1.0385,300,Process,Industries,,,,,,,,,
AGFY,Agrify,Corporation,23.04,11.35814403,2.35,Buy,3859403,473666318.166008,,-1.2439,74,Producer,Manufacturing,,,,,,,,
AGIL,"AgileThought, Inc.",14.81,22.19471947,2.69,Strong,Buy,6215339,621589205.710227,,-0.443,2282,Finance,,,,,,,,,
AGIO,"Agios Pharmaceuticals, Inc.",46.39,2.67817618,1.21,Sell,1171488,2734758702.65647,,-5.9073,562,Health,Technology,,,,,,,,,
AGL,"agilon health, inc.",30.015,-5.46456693,-1.735,Sell,3292901,11732340462.016,,,552,Health,Services,,,,,,,,,
AGLE,"Aeglea BioTherapeutics, Inc.",6.995,2.71659325,0.185,Sell,333218,343206585.791845,,-1.1451,90,Health,Technology,,,,,,,,,
AGMH,AGM,Group,Holdings,Inc.,9.14,7.40305523,0.63,Sell,362502,260090491.604396,,,11,Finance,,,,,,,
AGNC,AGNC,Investment,Corp.,16.045,0.21861337,0.035,Sell,17488104,8377537864,4.60260699,3.4779,50,Finance,,,,,,,,
AGO,Assured,Guaranty,Ltd.,47.11,0.70542967,0.33,Buy,1622536,3439317458.98132,11.011404,4.3201,412,Finance,,,,,,,,
AGR,"Avangrid, Inc.",51.3,-1.81818182,-0.95,Sell,1484931,19863593541.4891,23.74632623,2.179,7031,Utilities,,,,,,,,,,
AGRO,Adecoagro,S.A.,10.415,12.96095445,1.195,Strong,Buy,4364414,1227021024.98706,11.50939075,0.8752,8716,Process,Industries,,,,,,,
AGRX,"Agile Therapeutics, Inc.",1.025,-12.39316239,-0.145,Sell,2284154,95324955.5188679,,-0.7735,28,Health,Technology,,,,,,,,,
AGS,"PlayAGS, Inc.",7.26,-1.2244898,-0.09,Sell,743611,266267810.307065,,-1.112,684,Producer,Manufacturing,,,,,,,,,
AGTC,Applied,Genetic,Technologies,Corporation,3.3679,0.83532934,0.0279,Sell,1498736,143993860.960153,,-2.16,83,Health,Technology,,,,,,
AGTI,"Agiliti, Inc.",21.99,9.89505247,1.98,Strong,Buy,736197,2867167767.17915,,-0.0538,3852,Finance,,,,,,,,,
AGYS,"Agilysys, Inc.",51.64,1.25490196,0.64,Neutral,268307,1269196896.50515,,-0.8675,1350,Technology,Services,,,,,,,,,
AHCO,AdaptHealth,Corp.,23.98,0.84104289,0.2,Sell,2763318,3139238056.16367,,-1.9933,4700,Finance,,,,,,,,,
AHH,"Armada Hoffler Properties, Inc.",13.24,2.00308166,0.26,Neutral,672524,1618709415,55.43024227,0.2408,158,Finance,,,,,,,,,,
AHPI,"Allied Healthcare Products, Inc.",7.09,-7.32026144,-0.56,Buy,9998578,28455976.4189944,,-0.1008,218,Health,Technology,,,,,,,,,
AHT,Ashford,Hospitality,Trust,Inc,14.08,-1.67597765,-0.24,Sell,10798253,416625213,,-196.3769,96,Finance,,,,,,,
AI,"C3.ai, Inc.",50.055,0.06997201,0.035,Sell,12477949,5035959143.56492,,-0.9261,,Technology,Services,,,,,,,,,
AIG,"American International Group, Inc. New",54.47,0.05510654,0.03,Buy,16116145,46582878301.312,11.40959286,4.817,45000,Finance,,,,,,,,,,
AIH,Aesthetic,Medical,International,Holdings,Group,Ltd.,3.725,-7.10723192,-0.285,Sell,220095,89200025,,-1.1891,1665,Health,Services,,,,
AIHS,Senmiao,Technology,Limited,0.5852,-3.59143328,-0.0218,Sell,1258253,32425889.6963856,,-0.3126,327,Finance,,,,,,,,
AIKI,AIkido,Pharma,Inc.,0.7525,-2.77777778,-0.0215,Sell,15586877,67485060.6799315,,-0.1291,5,Health,Technology,,,,,,,
AIM,AIM,ImmunoTech,Inc.,1.9678,-1.61,-0.0322,Sell,1167987,94156519.481641,,-0.3794,23,Health,Technology,,,,,,,
AIMC,Altra,Industrial,Motion,Corp.,55.8,-0.5879209,-0.33,Sell,755478,3615313515.96445,25.03053036,2.3106,9100,Producer,Manufacturing,,,,,,
AIN,Albany,International,Corporation,76.72,-0.44121464,-0.34,Sell,381437,2500404961.08215,21.89774914,3.5889,4000,Process,Industries,,,,,,,
AIR,AAR,Corp.,32.2,0.31152648,0.1,Sell,736454,1142315277.58809,33.3063537,1.008,4700,Electronic,Technology,,,,,,,,
AIRC,Apartment,Income,REIT,Corp.,50.005,-1.01939826,-0.515,Neutral,2038102,7862268158,,,900,Finance,,,,,,,
AIRI,Air,Industries,Group,1.11,-2.63157895,-0.03,Strong,Sell,519707,35606058.3982301,20.73394495,0.0556,151,Electronic,Technology,,,,,,
AIT,"Applied Industrial Technologies, Inc.",85.45,-0.65108708,-0.56,Neutral,367547,3292580738.88959,23.60005434,3.7355,5947,Distribution,Services,,,,,,,,,
AIV,Apartment,Investment,and,Management,Company,6.97,1.75182482,0.12,Buy,3697720,1028181714,,,52,Finance,,,,,,
AIZ,"Assurant, Inc.",163.13,-2.85833383,-4.8,Buy,1297642,9594261937.01702,21.98747099,7.6972,14100,Finance,,,,,,,,,,
AJG,Arthur,J.,Gallagher,&,Co.,149.13,3.50499722,5.05,Buy,5003965,30832628001.4358,33.64998992,4.5659,32401,Finance,,,,,,
AJRD,"Aerojet Rocketdyne Holdings, Inc.",41.05,-3.13827277,-1.33,Sell,1550944,3296042026.95394,26.09273199,1.6532,4969,Electronic,Technology,,,,,,,,,
AKAM,"Akamai Technologies, Inc.",112.19,0.23228804,0.26,Buy,3987746,18267881185.199,31.82826272,3.5855,8368,Technology,Services,,,,,,,,,
AKBA,"Akebia Therapeutics, Inc.",2.805,-2.60416667,-0.075,Sell,6057026,489577571.465827,,-1.985,379,Health,Technology,,,,,,,,,
AKR,Acadia,Realty,Trust,21.01,4.89266101,0.98,Buy,1363940,1833235950,,-0.1274,120,Finance,,,,,,,,
AKRO,"Akero Therapeutics, Inc.",23.95,-4.31482221,-1.08,Sell,474075,834942330.018367,,-2.7514,21,Health,Technology,,,,,,,,,
AKTS,"Akoustis Technologies, Inc.",9.87,-3.04518664,-0.31,Buy,1364905,506429887.903787,,-1.0381,171,Electronic,Technology,,,,,,,,,
AKTX,Akari,Therapeutics,Plc,1.81,0,0,Sell,445651,87579089,,-0.563,8,Health,Technology,,,,,,,
AKU,Akumin,Inc.,2.35,-4.08163265,-0.1,Sell,327815,209213450.783333,,-0.3179377,,Health,Services,,,,,,,,
AKUS,"Akouos, Inc.",12.56,-1.49019608,-0.19,Neutral,262317,433071439.251353,,-2.3511,69,Health,Technology,,,,,,,,,
AKYA,"Akoya BioSciences, Inc.",17.67,23.65290413,3.38,Neutral,544572,656591126.105422,,,169,Health,Technology,,,,,,,,,
AL,Air,Lease,Corporation,38.945,1.36647579,0.525,Sell,1874831,4445225184.28725,11.46330746,3.4209,120,Finance,,,,,,,,
ALB,Albemarle,Corporation,231.2,-4.13401335,-9.97,Buy,6210612,27038808813.9875,37.93265567,6.2022,5900,Process,Industries,,,,,,,,
ALBO,"Albireo Pharma, Inc.",29.16,-2.54010695,-0.76,Strong,Sell,566662,561499849.26856,,-7.4383,90,Health,Technology,,,,,,,,
ALDX,"Aldeyra Therapeutics, Inc.",8.545,-2.89772727,-0.255,Sell,1981567,494448203.810526,,-1.0494,11,Health,Technology,,,,,,,,,
ALE,"Allete, Inc.",61.7,-3.57868417,-2.29,Strong,Sell,850237,3224942788.23378,19.33385214,3.2187,1342,Utilities,,,,,,,,,
ALEC,"Alector, Inc.",25.24,10.89630931,2.48,Buy,2218076,2041295609.95548,,-2.6779,171,Health,Technology,,,,,,,,,
